plain,hash
0,cfcd208495d565ef66e7dff9f98764da
1,c4ca4238a0b923820dcc509a6f75849b
2,c81e728d9d4c2f636f067f89cc14862c
3,eccbc87e4b5ce2fe28308fd9f2a7baf3
4,a87ff679a2f3e71d9181a67b7542122c
5,e4da3b7fbbce2345d7772b0674a318d5
6,1679091c5a880faf6fb5e6087eb1b2dc
7,8f14e45fceea167a5a36dedd4bea2543
8,c9f0f895fb98ab9159f51fd0297e236d
9,45c48cce2e2d7fbdea1afc51c7c6ad26
A,7fc56270e7a70fa81a5935b72eacbe29
B,9d5ed678fe57bcca610140957afab571
C,0d61f8370cad1d412f80b84d143e1257
D,f623e75af30e62bbd73d6df5b50bb7b5
E,3a3ea00cfc35332cedf6e5e9a32e94da
F,800618943025315f869e4e1f09471012
G,dfcf28d0734569a6a693bc8194de62bf
H,c1d9f50f86825a1a2302ec2449c17196
I,dd7536794b63bf90eccfd37f9b147d7f
J,ff44570aca8241914870afbc310cdb85
K,a5f3c6a11b03839d46af9fb43c97c188
L,d20caec3b48a1eef164cb4ca81ba2587
M,69691c7bdcc3ce6d5d8a1361f22d04ac
N,8d9c307cb7f3c4a32822a51922d1ceaa
O,f186217753c37b9b9f958d906208506e
P,44c29edb103a2872f519ad0c9a0fdaaa
Q,f09564c9ca56850d4cd6b3319e541aee
R,e1e1d3d40573127e9ee0480caf1283d6
S,5dbc98dcc983a70728bd082d1a47546e
T,b9ece18c950afbfa6b0fdbfa4ff731d3
U,4c614360da93c0a041b22e537de151eb
V,5206560a306a2e085a437fd258eb57ce
W,61e9c06ea9a85a5088a499df6458d276
X,02129bb861061d1a052c592e2dc6b383
Y,57cec4137b614c87cb4e24a3d003a3e0
Z,21c2e59531c8710156d34a3c30ac81d5
a,0cc175b9c0f1b6a831c399e269772661
b,92eb5ffee6ae2fec3ad71c777531578f
c,4a8a08f09d37b73795649038408b5f33
d,8277e0910d750195b448797616e091ad
e,e1671797c52e15f763380b45e841ec32
f,8fa14cdd754f91cc6554c9e71929cce7
g,b2f5ff47436671b6e533d8dc3614845d
h,2510c39011c5be704182423e3a695e91
i,865c0c0b4ab0e063e5caa3387c1a8741
j,363b122c528f54df4a0446b6bab05515
k,8ce4b16b22b58894aa86c421e8759df3
l,2db95e8e1a9267b7a1188556b2013b33
m,6f8f57715090da2632453988d9a1501b
n,7b8b965ad4bca0e41ab51de7b31363a1
o,d95679752134a2d9eb61dbd7b91c4bcc
p,83878c91171338902e0fe0fb97a8c47a
q,7694f4a66316e53c8cdd9d9954bd611d
r,4b43b0aee35624cd95b910189b3dc231
s,03c7c0ace395d80182db07ae2c30f034
t,e358efa489f58062f10dd7316b65649e
u,7b774effe4a349c6dd82ad4f4f21d34c
v,9e3669d19b675bd57058fd4664205d2a
w,f1290186a5d0b1ceab27f4e77c0c5d68
x,9dd4e461268c8034f5c8564e155c67a6
y,415290769594460e2e485922904f345d
z,fbade9e36a3f36d3d676c1b808451dd7
!,9033e0e305f247c0c3c80d0c7848c8b3
@,518ed29525738cebdac49c49e60ea9d3
#,01abfc750a0c942167651c40d088531d
$,c3e97dd6e97fb5125688c97f36720cbe
%,0bcef9c45bd8a48eda1b26eb0c61c869
^,7e6a2afe551e067a75fafacf47a6d981
&,6cff047854f19ac2aa52aac51bf3af4a
*,3389dae361af79b04c9c8e7057f60cc6
(,84c40473414caf2ed4a7b1283e48bbf4
),9371d7a2e3ae86a00aab4771e39d255d
_,b14a7b8059d9c055954c92674ce60032
+,26b17225b626fb9238849fd60eabdf60
{,f95b70fdc3088560732a5ac135644506
},cbb184dd8e05c9709e5dcaedaa0495cf
|,b99834bc19bbad24580b3adfa04fb947
:,853ae90f0351324bd73ea615e6487517
<,524a50782178998021a88b8cd4c8dcd8
>,cedf8da05466bb54708268b3c694a78f
?,d1457b72c3fb323a2671125aef3eab5d
~,4c761f170e016836ff84498202b99827
